Name of Firm,unknown,unknown,"Address, line 1","Address, line 2",City,State,Zip,Capabilities Narrative,E-mail Address,CAGE Code,Congr. Dist.,County Code,UEI,E-Mall Page URL,Fax Number,Fiscal Year Ends,In TECH-Net?,Incorp. Country,Incorp. State,Last Updated,Main/Branch,Metro Stat Area,Phone Number,Trade Name,WWW Page URL,Year Established,Legal Structure,"Business Type (Service, Construction, etc)","Ownership/Self-Certs (Minority, Veteran, Woman, etc)","NAICS, All (for which firm is small)","NAICS, Buy Green and Small","NAICS, Primary and Small",FullAddress,ZipOnly
ANGELA EASTVOLD PHD ABPP LLC,ANGELA EASTVOLD,,120 BIRMINGHAM DRIVE STE 110A,,CARDIFF,CA,92007-1737,,angela@angelaeastvoldphd.com,7RAK0,49,073,YQJLDPC1AJK9,,,1231,,USA,CA,07/26/2024,Branch,7320,760-420-2640,,,2016,,,"Self-Certified Small Disadvantaged Business, Woman Owned","541990, 621330",,,"120 BIRMINGHAM DRIVE STE 110A, , CARDIFF, CA 92007-1737",92007
HAVILAND JOHN B,JOHN HAVILAND,,2109 MONTGOMERY AVE,,CARDIFF,CA,92007-1817,,johnbhaviland@gmail.com,7STG8,49,073,R22MQMDKM1J3,,,1231,,USA,CA,06/12/2024,Branch,7320,760-634-6609,,,2017,SL,,,541930,,,"2109 MONTGOMERY AVE, , CARDIFF, CA 92007-1817",92007
JPM PRO INC,JEREMY MCGHEE,,1685 SAN ELIJO AVE,UNIT B,CARDIFF BY THE SEA,CA,92007-2342,,jeremy@jpmprosales.com,8UU05,49,073,SZH2D383AN35,,,1231,,USA,CA,11/01/2024,Branch,7320,619-251-7257,,,2020,CP,,Self-Certified Small Disadvantaged Business,459999,,,"1685 SAN ELIJO AVE, UNIT B, CARDIFF BY THE SEA, CA 92007-2342",92007
DNA SOFTWARE LLC,ARMANDO VITERI,,2138 MONTGOMERY AVE,,CARDIFF BY THE SEA,CA,92007-1818,,armando.viteri@thednasoftware.com,94T87,49,073,PJNCZG9C1DG1,,,1231,,USA,NV,04/30/2024,Branch,7320,480-797-2970,,,2020,LL,,"Hispanic American, Other Minority Owned, Woman Owned","541511, 541519, 541519",,,"2138 MONTGOMERY AVE, , CARDIFF BY THE SEA, CA 92007-1818",92007
CARE SOLACE INC,STEPHANIE BERGSTROM,,120 BIRMINGHAM DR,STE 200,CARDIFF,CA,92007-1753,,stephanie.bergstrom@caresolace.org,9AEK8,49,073,J89VDFBVW9Q2,,,0630,,USA,DE,11/01/2024,Branch,7320,442-222-0842,,www.caresolace.org,2015,CP,,"Hispanic American, Other Minority Owned",541990,,,"120 BIRMINGHAM DR, STE 200, CARDIFF, CA 92007-1753",92007
"COGENT RESOURCES, LLC",AMY GOSNEY,,1714 DORA DRIVE,,CARDIFF BY THE SEA,CA,92007-1131,,amy@cogentresources.net,9EAZ6,49,073,JR2NUATL1QC3,,,1231,,USA,DE,09/24/2024,Branch,7320,949-278-3685,,,2022,LL,,"Self-Certified Small Disadvantaged Business, Woman Owned","522320, 531311, 531312, 541511, 541611, 541618, 541690",,,"1714 DORA DRIVE, , CARDIFF BY THE SEA, CA 92007-1131",92007
RECOVER MEDICAL GROUP P.C.,DANIEL DUEL,,120 BIRMINGHAM DRIVE,STE 240A,CARDIFF-BY-THE-SEA,CA,92007-1744,,dannyduel@letsrecover.com,9EC25,49,073,GURNB1K9H5F7,,,1231,,USA,CA,12/27/2024,Branch,7320,858-208-0121,,letsrecover.com,2021,CP,,Self-Certified Small Disadvantaged Business,621420,,,"120 BIRMINGHAM DRIVE, STE 240A, CARDIFF-BY-THE-SEA, CA 92007-1744",92007
RZ HOLDINGS INC.,RYAN ZOMORODI,,1608 LAKE DR,,CARDIFF BY THE SEA,CA,92007-1139,,ryan@realestateskills.com,9LQU8,49,073,DSP7JGQC44Q8,,,1231,,USA,CA,02/08/2025,Branch,7320,818-261-8387,RZ HOLDINGS INC,,2015,SC,,Self-Certified Small Disadvantaged Business,"531110, 531110",,,"1608 LAKE DR, , CARDIFF BY THE SEA, CA 92007-1139",92007
THE TRANSFORMATION PLAYBOOK LLC,LAURA BIER,,2580 SAN ELIJO AVE,,CARDIFF BY THE SEA,CA,92007-2126,,laura@theTransformationPlaybook.com,9TKJ9,49,073,NC8BRJ9R2LG5,,,1231,,USA,CA,08/23/2024,Branch,7320,703-615-1560,,thetransformationplaybook.com,2024,LL,,Woman Owned,"541611, 541618",,,"2580 SAN ELIJO AVE, , CARDIFF BY THE SEA, CA 92007-2126",92007
DEMETRIO C DEAN,DEMETRIO COLIN,,2130 BULRUSH LN,,CARDIFF BY THE SEA,CA,92007-1408,,dcdean3326@gmail.com,9X7F3,49,073,WA19LKGHL1E1,,,1231,,USA,CA,06/07/2024,Branch,7320,858-900-4426,,,2024,SL,,,722310,,,"2130 BULRUSH LN, , CARDIFF BY THE SEA, CA 92007-1408",92007
